1	2.0000	2.0733
2	2.0733	2.1493
3	2.1493	2.2281
4	2.2281	2.3098
5	2.3098	2.3945
6	2.3945	2.4822
7	2.4822	2.5732
8	2.5732	2.6675
9	2.6675	2.7653
10	2.7653	2.8667
11	2.8667	2.9718
12	2.9718	3.0807
13	3.0807	3.1936
14	3.1936	3.3107
15	3.3107	3.4320
16	3.4320	3.5579
17	3.5579	3.6883
18	3.6883	3.8235
19	3.8235	3.9636
20	3.9636	4.1089
21	4.1089	4.2595
22	4.2595	4.4157
23	4.4157	4.5775
24	4.5775	4.7453
25	4.7453	4.9193
26	4.9193	5.0996
27	5.0996	5.2865
28	5.2865	5.4803
29	5.4803	5.6812
30	5.6812	5.8894
31	5.8894	6.1053
32	6.1053	6.3291
33	6.3291	6.5611
34	6.5611	6.8016
35	6.8016	7.0509
36	7.0509	7.3094
37	7.3094	7.5773
38	7.5773	7.8551
39	7.8551	8.1430
40	8.1430	8.4415
41	8.4415	8.7509
42	8.7509	9.0717
43	9.0717	9.4042
44	9.4042	9.7489
45	9.7489	10.106
46	10.106	10.477
47	10.477	10.861
48	10.861	11.259
49	11.259	11.672
50	11.672	12.099
51	12.099	12.543
52	12.543	13.003
53	13.003	13.479
54	13.479	13.973
55	13.973	14.486
56	14.486	15.017
57	15.017	15.567
58	15.567	16.138
59	16.138	16.729
60	16.729	17.342
61	17.342	17.978
62	17.978	18.637
63	18.637	19.320
64	19.320	20.029
65	20.029	20.763
66	20.763	21.524
67	21.524	22.313
68	22.313	23.131
69	23.131	23.978
70	23.978	24.857
71	24.857	25.769
72	25.769	26.713
73	26.713	27.692
74	27.692	28.707
75	28.707	29.760
76	29.760	30.851
77	30.851	31.981
78	31.981	33.154
79	33.154	34.369
80	34.369	35.629
81	35.629	36.935
82	36.935	38.289
83	38.289	39.692
84	39.692	41.147
85	41.147	42.656
86	42.656	44.219
87	44.219	45.840
88	45.840	47.520
89	47.520	49.262
90	49.262	51.068
91	51.068	52.940
92	52.940	54.880
93	54.880	56.892
94	56.892	58.978
95	58.978	61.139
96	61.139	63.381
97	63.381	65.704
98	65.704	68.112
99	68.112	70.609
100	70.609	73.197
101	73.197	75.880
102	75.880	78.662
103	78.662	81.545
104	81.545	84.534
105	84.534	87.633
106	87.633	90.845
107	90.845	94.175
108	94.175	97.627
109	97.627	101.21
110	101.21	104.92
111	104.92	108.76
112	108.76	112.75
113	112.75	116.88
114	116.88	121.17
115	121.17	125.61
116	125.61	130.21
117	130.21	134.98
118	134.98	139.93
119	139.93	145.06
120	145.06	150.38
121	150.38	155.89
122	155.89	161.61
123	161.61	167.53
124	167.53	173.67
125	173.67	180.04
126	180.04	186.64
127	186.64	193.48
128	193.48	200.57
